,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
37.0,0.832154974952446,0.902751816368855,0.908198470510931,0.876044310097161,0.909346720458908,0.828816077042106,0.877814984544422,0.747859807266239,0.966360309660456,0.942790582964186,0.867556870421752,0.776240365065516
40.0,0.930255584606814,,,,,,,,,,,
41.0,0.868637801899672,,,,,,,,,,,
42.0,0.869665730458884,0.809678652601859,,,,,,,,,,
43.0,0.908037236727447,0.763596972104715,,,,,,,,,,
44.0,0.812107198960977,0.964058368026471,,,,,,,,,,
46.0,0.706037009295758,0.716662241307404,0.911652532495783,,,,,,,,,
50.0,0.811024818811706,0.673426508226305,0.691186870383833,0.833167096390683,0.838767951338485,0.910777912528479,,,,,,
51.0,0.898006040436421,,,,,,,,,,,
52.0,0.887559234989457,0.754055729260967,0.695768599223053,,,,,,,,,
53.0,0.887272008749405,0.884685225116635,0.894260430683154,,,,,,,,,
58.0,0.809431031512386,0.542906070665592,,,,,,,,,,
59.0,0.860964811384896,0.759383072243776,,,,,,,,,,
60.0,0.824471352179385,0.97420255193611,0.619330535591483,,,,,,,,,
61.0,0.898691160533164,0.835948622920243,,,,,,,,,,
64.0,0.747252763773796,0.901953394255528,,,,,,,,,,
65.0,0.744753007375099,,,,,,,,,,,
67.0,0.757670061112487,0.743823133127378,,,,,,,,,,
69.0,0.838464037798117,,,,,,,,,,,
70.0,0.835586516396035,,,,,,,,,,,
73.0,0.680330752441345,,,,,,,,,,,
81.0,0.636637804088992,,,,,,,,,,,
