,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,,,,,,,,,,,,,,,,,,,,,,,"(74, 70)","(75, 75)","(76, 74)","(75, 75)","(78, 70)","(63, 70)","(80, 79)","(77, 72)","(78, 71)","(75, 73)","(79, 72)","(76, 75)","(73, 75)","(80, 80)","(76, 72)","(80, 65)","(77, 75)"
40.0,,,"(80, 73)","(75, 76)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,"(76, 76)","(86, 75)","(76, 74)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,"(75, 77)","(78, 74)","(72, 74)","(74, 71)","(78, 76)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,,,,"(77, 68)","(76, 75)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,,,,"(76, 74)","(41, 91)","(77, 71)","(84, 49)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,,,"(73, 81)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,,,"(76, 76)","(75, 71)","(75, 76)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,,,"(75, 71)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,,"(78, 76)","(75, 74)","(78, 78)","(76, 78)","(75, 73)","(79, 81)","(75, 75)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,,,"(76, 72)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,,"(75, 80)","(71, 73)","(74, 70)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,,"(77, 78)","(77, 73)","(75, 80)","(74, 74)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,,,"(76, 74)","(76, 71)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,,"(74, 73)","(81, 75)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,,,"(72, 71)","(76, 24)","(76, 76)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,"(75, 79)","(75, 72)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,"(74, 77)","(71, 77)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.0,,,"(77, 72)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,,"(79, 75)","(74, 77)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.0,,,,"(75, 73)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,"(76, 71)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.0,,,"(80, 76)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.0,"(81, 68)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
